endTime,artistName,trackName,msPlayed
2019-11-06 16:37,Magic City Hippies,Hush,319124
2019-11-06 16:39,Netherfriends,Uptown Boys,135448
2019-11-06 16:40,Electric Guest,Back On Me,68927
2019-11-06 17:12,Electric Guest,Back On Me,125265
2019-11-06 17:16,Coast Modern,Pockets Full Of No,204026
2019-11-06 17:20,The Floozies,Nothing to Lose,240000
2019-11-06 17:23,SunSquabi,Cinnamon,194042
2019-11-06 17:26,Young the Giant,Silvertongue,197426
2019-11-06 17:31,Biskwiq,A First Date,252264
2019-11-06 17:35,Glass Animals,Season 2 Episode 3,243509
2019-11-06 17:38,Generationals,Put a Light On,226933
2019-11-06 17:43,Lewis Del Mar,Live That Long,285466
2019-11-06 19:19,Coast Modern,Dive,210426
2019-11-06 19:22,The O'My's,My House,153830
2019-11-06 19:25,Street Joy,Do a Thing,215624
2019-11-06 19:29,Terraplane Sun,Get Me Golden,234613
2019-11-06 19:32,Fat Camp,Trapped in Your Universe,201500
2019-11-06 19:36,Whitney,Southern Nights,212621
2019-11-06 19:39,Rainbow Kitten Surprise,Devil Like Me,188280
2019-11-06 19:44,Still Time,9 to 5,298881
2019-11-06 19:47,Joshua Burnside,Blood Drive,184972
2019-11-06 19:51,Matt Maeson,Go Easy,201450
2019-11-06 19:54,Blitzen Trapper,Rebel,5990
2019-11-06 19:54,CRAY,Peaches (RAC Mix),13365
2019-11-06 19:54,Wilder Adkins,Side by Side,217144
2019-11-06 19:55,Magic City Hippies,Limestone,0
2019-11-06 20:00,Pigeons Playing Ping Pong,Julia,313000
2019-11-06 20:04,The Rolling Stones,Beast Of Burden - Remastered,265173
2019-11-06 20:08,Generationals,TenTwentyTen,202613
